z,symbol,name,group,period
1,H,Hydrogen,1.0,1
2,He,Helium,18.0,1
3,Li,Lithium,1.0,2
4,Be,Beryllium,2.0,2
5,B,Boron,13.0,2
6,C,Carbon,14.0,2
7,N,Nitrogen,15.0,2
8,O,Oxygen,16.0,2
9,F,Fluorine,17.0,2
10,Ne,Neon,18.0,2
11,Na,Sodium,1.0,3
12,Mg,Magnesium,2.0,3
13,Al,Aluminium,13.0,3
14,Si,Silicon,14.0,3
15,P,Phosphorus,15.0,3
16,S,Sulfur,16.0,3
17,Cl,Chlorine,17.0,3
18,Ar,Argon,18.0,3
19,K,Potassium,1.0,4
20,Ca,Calcium,2.0,4
21,Sc,Scandium,3.0,4
22,Ti,Titanium,4.0,4
23,V,Vanadium,5.0,4
24,Cr,Chromium,6.0,4
25,Mn,Manganese,7.0,4
26,Fe,Iron,8.0,4
27,Co,Cobalt,9.0,4
28,Ni,Nickel,10.0,4
29,Cu,Copper,11.0,4
30,Zn,Zinc,12.0,4
31,Ga,Gallium,13.0,4
32,Ge,Germanium,14.0,4
33,As,Arsenic,15.0,4
34,Se,Selenium,16.0,4
35,Br,Bromine,17.0,4
36,Kr,Krypton,18.0,4
37,Rb,Rubidium,1.0,5
38,Sr,Strontium,2.0,5
39,Y,Yttrium,3.0,5
40,Zr,Zirconium,4.0,5
41,Nb,Niobium,5.0,5
42,Mo,Molybdenum,6.0,5
43,Tc,Technetium,7.0,5
44,Ru,Ruthenium,8.0,5
45,Rh,Rhodium,9.0,5
46,Pd,Palladium,10.0,5
47,Ag,Silver,11.0,5
48,Cd,Cadmium,12.0,5
49,In,Indium,13.0,5
50,Sn,Tin,14.0,5
51,Sb,Antimony,15.0,5
52,Te,Tellurium,16.0,5
53,I,Iodine,17.0,5
54,Xe,Xenon,18.0,5
55,Cs,Caesium,1.0,6
56,Ba,Barium,2.0,6
57,La,Lanthanum,-1.0,6
58,Ce,Cerium,-1.0,6
59,Pr,Praseodymium -1,-1.0,6
60,Nd,Neodymium,-1.0,6
61,Pm,Promethium,-1.0,6
62,Sm,Samarium,-1.0,6
63,Eu,Europium,-1.0,6
64,Gd,Gadolinium,-1.0,6
65,Tb,Terbium,-1.0,6
66,Dy,Dysprosium,-1.0,6
67,Ho,Holmium,-1.0,6
68,Er,Erbium,-1.0,6
69,Tm,Thulium,-1.0,6
70,Yb,Ytterbium,-1.0,6
71,Lu,Lutetium,3.0,6
72,Hf,Hafnium,4.0,6
73,Ta,Tantalum,5.0,6
74,W,Tungsten,6.0,6
75,Re,Rhenium,7.0,6
76,Os,Osmium,8.0,6
77,Ir,Iridium,9.0,6
78,Pt,Platinum,10.0,6
79,Au,Gold,11.0,6
80,Hg,Mercury,12.0,6
81,Tl,Thallium,13.0,6
82,Pb,Lead,14.0,6
83,Bi,Bismuth,15.0,6
84,Po,Polonium,16.0,6
85,At,Astatine,17.0,6
86,Rn,Radon,18.0,6
87,Fr,Francium,1.0,7
88,Ra,Radium,2.0,7
89,Ac,Actinium,-1.0,7
90,Th,Thorium,-1.0,7
91,Pa,Protactinium,-1.0,7
92,U,Uranium,-1.0,7
93,Np,Neptunium,-1.0,7
94,Pu,Plutonium,-1.0,7
95,Am,Americium,-1.0,7
96,Cm,Curium,-1.0,7
97,Bk,Berkelium,-1.0,7
98,Cf,Californium,-1.0,7
99,Es,Einsteinium,-1.0,7
100,Fm,Fermium,-1.0,7
101,Md,Mendelevium,-1.0,7
102,No,Nobelium,-1.0,7
103,Lr,Lawrencium,3.0,7
104,Rf,Rutherfordium,4.0,7
105,Db,Dubnium,5.0,7
106,Sg,Seaborgium,6.0,7
107,Bh,Bohrium,7.0,7
108,Hs,Hassium,8.0,7
109,Mt,Meitnerium,9.0,7
110,Ds,Darmstadtium,10.0,7
111,Rg,Roentgenium,11.0,7
112,Cn,Copernicium,12.0,7
113,Uut,Ununtrium,13.0,7
114,Fl,Flerovium,14.0,7
115,Uup,Ununpentium,15.0,7
116,Lv,Livermorium,16.0,7
117,Uus,Ununseptium,17.0,7
118,Uuo,Ununoctium,18.0,7
